Start Date (in UTC),Account Name,Currency,Campaign Group ID,Campaign Group Name,Campaign Group Status,Campaign Group Start Date,Campaign ID,Campaign Name,Campaign Objective,Campaign Type,Campaign Status,Cost Type,Daily Budget,Total Budget,Campaign Start Date,Campaign End Date,Creative Name,Ad ID,Creative Status,Ad Introduction Text,Ad Headline,Ad Line,Click URL,Sponsored Update Type,DSC Name,Video Length (in Seconds),Total Spent,Impressions,Clicks,Click Through Rate,Average CPM,Average CPC,Reactions,Comments,Shares,Follows,Other Clicks,Total Social Actions,Total Engagements,Engagement Rate,Viral Impressions,Viral Clicks,Viral Reactions,Viral Comments,Viral Shares,Viral Follows,Viral Other Clicks,Conversions,Post-Click Conversions,View-Through Conversions,Conversion Rate,Cost per Conversion,Total Conversion Value,Return on Ad Spend,Viral Conversions,Viral Post-Click Conversions,Viral View-Through Conversions,Leads,Lead Forms Opened,Lead Form Completion Rate,Cost per Lead,Video Plays,Video Views,Video View Rate,Video Views at 25%,Video Views at 50%,Video Views at 75%,Video Completions,Video Completion Rate,Full Screen Plays,eCPV,Viral Video Plays,Viral Video Views,Viral Video Views at 25%,Viral Video Views at 50%,Viral Video Views at 75%,Viral Video Completions,Viral Video Completion Rate,Viral Video Full Screen Plays,Reach,Average Frequency,"Cost per 1,000 People Reached",Event Registrations,Click Event Registrations,View Event Registrations,Viral Event Registrations,Viral Click Event Registrations,Viral View Event Registrations,Clicks to Landing Page,Clicks to LinkedIn Page,Leads (Work Email),Lead Form Completion Rate (Work Email),Cost Per Lead (Work Email),Campaign Group End Date,Campaign Group Total Budget
8/4/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558083,MI- Website Visits Campaign,Website visits,Sponsored Update,Completed,CPC,,"13,500.00",7/27/2023,11/30/2023,MI-Brand.A_V2,256053703,Paused,"Learn to optimize your indirect spending, which typically equals 20%+ of your organization's total revenue. ",It's Time to Rethink Your Indirect Procurement Strategy,,https://logicsource.com/tylp/the-indirect-spend-opportunity-what-you-dont-know-could-cost-you/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=MI-Brand.A_V2&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558083&hsa_ad=256053703&hsa_net=linkedin&hsa_ver=3,DSC,MI-Brand.A_V2,,98.17,1573,7,0.445%,62.41,14.02,0,0,0,0,0,0,7,0.445%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,7,0,0,0%,0.0,,
8/5/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558083,MI- Website Visits Campaign,Website visits,Sponsored Update,Completed,CPC,,"13,500.00",7/27/2023,11/30/2023,MI-Brand.A_V2,256053703,Paused,"Learn to optimize your indirect spending, which typically equals 20%+ of your organization's total revenue. ",It's Time to Rethink Your Indirect Procurement Strategy,,https://logicsource.com/tylp/the-indirect-spend-opportunity-what-you-dont-know-could-cost-you/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=MI-Brand.A_V2&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558083&hsa_ad=256053703&hsa_net=linkedin&hsa_ver=3,DSC,MI-Brand.A_V2,,68.72,866,4,0.462%,79.35,17.18,0,0,0,0,0,0,4,0.462%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,0,0,0%,0.0,,
8/6/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558083,MI- Website Visits Campaign,Website visits,Sponsored Update,Completed,CPC,,"13,500.00",7/27/2023,11/30/2023,MI-Brand.A_V2,256053703,Paused,"Learn to optimize your indirect spending, which typically equals 20%+ of your organization's total revenue. ",It's Time to Rethink Your Indirect Procurement Strategy,,https://logicsource.com/tylp/the-indirect-spend-opportunity-what-you-dont-know-could-cost-you/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=MI-Brand.A_V2&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558083&hsa_ad=256053703&hsa_net=linkedin&hsa_ver=3,DSC,MI-Brand.A_V2,,63.32,795,6,0.755%,79.65,10.55,0,0,0,0,0,0,6,0.755%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,6,0,0,0%,0.0,,
8/7/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558083,MI- Website Visits Campaign,Website visits,Sponsored Update,Completed,CPC,,"13,500.00",7/27/2023,11/30/2023,MI-Brand.A_V2,256053703,Paused,"Learn to optimize your indirect spending, which typically equals 20%+ of your organization's total revenue. ",It's Time to Rethink Your Indirect Procurement Strategy,,https://logicsource.com/tylp/the-indirect-spend-opportunity-what-you-dont-know-could-cost-you/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=MI-Brand.A_V2&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558083&hsa_ad=256053703&hsa_net=linkedin&hsa_ver=3,DSC,MI-Brand.A_V2,,87.66,1123,2,0.178%,78.06,43.83,0,0,0,0,0,0,2,0.178%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2,0,0,0%,0.0,,
8/8/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558083,MI- Website Visits Campaign,Website visits,Sponsored Update,Completed,CPC,,"13,500.00",7/27/2023,11/30/2023,MI-Brand.A_V2,256053703,Paused,"Learn to optimize your indirect spending, which typically equals 20%+ of your organization's total revenue. ",It's Time to Rethink Your Indirect Procurement Strategy,,https://logicsource.com/tylp/the-indirect-spend-opportunity-what-you-dont-know-could-cost-you/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=MI-Brand.A_V2&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558083&hsa_ad=256053703&hsa_net=linkedin&hsa_ver=3,DSC,MI-Brand.A_V2,,98.87,1219,4,0.328%,81.11,24.72,0,0,0,0,0,0,4,0.328%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,0,0,0%,0.0,,
8/9/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558083,MI- Website Visits Campaign,Website visits,Sponsored Update,Completed,CPC,,"13,500.00",7/27/2023,11/30/2023,MI-Brand.A_V2,256053703,Paused,"Learn to optimize your indirect spending, which typically equals 20%+ of your organization's total revenue. ",It's Time to Rethink Your Indirect Procurement Strategy,,https://logicsource.com/tylp/the-indirect-spend-opportunity-what-you-dont-know-could-cost-you/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=MI-Brand.A_V2&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558083&hsa_ad=256053703&hsa_net=linkedin&hsa_ver=3,DSC,MI-Brand.A_V2,,96.91,1210,1,0.083%,80.09,96.91,0,0,0,0,0,0,1,0.083%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0%,0.0,,
8/10/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558083,MI- Website Visits Campaign,Website visits,Sponsored Update,Completed,CPC,,"13,500.00",7/27/2023,11/30/2023,MI-Brand.A_V2,256053703,Paused,"Learn to optimize your indirect spending, which typically equals 20%+ of your organization's total revenue. ",It's Time to Rethink Your Indirect Procurement Strategy,,https://logicsource.com/tylp/the-indirect-spend-opportunity-what-you-dont-know-could-cost-you/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=MI-Brand.A_V2&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558083&hsa_ad=256053703&hsa_net=linkedin&hsa_ver=3,DSC,MI-Brand.A_V2,,103.91,1293,6,0.464%,80.37,17.32,0,0,0,0,0,0,6,0.464%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,6,0,0,0%,0.0,,
8/11/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558083,MI- Website Visits Campaign,Website visits,Sponsored Update,Completed,CPC,,"13,500.00",7/27/2023,11/30/2023,MI-Brand.A_V2,256053703,Paused,"Learn to optimize your indirect spending, which typically equals 20%+ of your organization's total revenue. ",It's Time to Rethink Your Indirect Procurement Strategy,,https://logicsource.com/tylp/the-indirect-spend-opportunity-what-you-dont-know-could-cost-you/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=MI-Brand.A_V2&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558083&hsa_ad=256053703&hsa_net=linkedin&hsa_ver=3,DSC,MI-Brand.A_V2,,96.86,1220,2,0.164%,79.39,48.43,0,0,0,0,0,0,2,0.164%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2,0,0,0%,0.0,,
8/12/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558083,MI- Website Visits Campaign,Website visits,Sponsored Update,Completed,CPC,,"13,500.00",7/27/2023,11/30/2023,MI-Brand.A_V2,256053703,Paused,"Learn to optimize your indirect spending, which typically equals 20%+ of your organization's total revenue. ",It's Time to Rethink Your Indirect Procurement Strategy,,https://logicsource.com/tylp/the-indirect-spend-opportunity-what-you-dont-know-could-cost-you/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=MI-Brand.A_V2&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558083&hsa_ad=256053703&hsa_net=linkedin&hsa_ver=3,DSC,MI-Brand.A_V2,,74.2,914,4,0.438%,81.18,18.55,0,0,0,0,0,0,4,0.438%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,0,0,0%,0.0,,
8/13/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558083,MI- Website Visits Campaign,Website visits,Sponsored Update,Completed,CPC,,"13,500.00",7/27/2023,11/30/2023,MI-Brand.A_V2,256053703,Paused,"Learn to optimize your indirect spending, which typically equals 20%+ of your organization's total revenue. ",It's Time to Rethink Your Indirect Procurement Strategy,,https://logicsource.com/tylp/the-indirect-spend-opportunity-what-you-dont-know-could-cost-you/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=MI-Brand.A_V2&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558083&hsa_ad=256053703&hsa_net=linkedin&hsa_ver=3,DSC,MI-Brand.A_V2,,64.71,806,0,0%,80.28,0.0,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0%,0.0,,
8/14/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558083,MI- Website Visits Campaign,Website visits,Sponsored Update,Completed,CPC,,"13,500.00",7/27/2023,11/30/2023,MI-Brand.A_V2,256053703,Paused,"Learn to optimize your indirect spending, which typically equals 20%+ of your organization's total revenue. ",It's Time to Rethink Your Indirect Procurement Strategy,,https://logicsource.com/tylp/the-indirect-spend-opportunity-what-you-dont-know-could-cost-you/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=MI-Brand.A_V2&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558083&hsa_ad=256053703&hsa_net=linkedin&hsa_ver=3,DSC,MI-Brand.A_V2,,90.26,1149,3,0.261%,78.56,30.09,0,0,0,0,0,0,3,0.261%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,3,0,0,0%,0.0,,
8/15/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558083,MI- Website Visits Campaign,Website visits,Sponsored Update,Completed,CPC,,"13,500.00",7/27/2023,11/30/2023,MI-Brand.A_V2,256053703,Paused,"Learn to optimize your indirect spending, which typically equals 20%+ of your organization's total revenue. ",It's Time to Rethink Your Indirect Procurement Strategy,,https://logicsource.com/tylp/the-indirect-spend-opportunity-what-you-dont-know-could-cost-you/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=MI-Brand.A_V2&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558083&hsa_ad=256053703&hsa_net=linkedin&hsa_ver=3,DSC,MI-Brand.A_V2,,88.66,1167,3,0.257%,75.97,29.55,0,0,0,0,0,0,3,0.257%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,3,0,0,0%,0.0,,
8/16/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558083,MI- Website Visits Campaign,Website visits,Sponsored Update,Completed,CPC,,"13,500.00",7/27/2023,11/30/2023,MI-Brand.A_V2,256053703,Paused,"Learn to optimize your indirect spending, which typically equals 20%+ of your organization's total revenue. ",It's Time to Rethink Your Indirect Procurement Strategy,,https://logicsource.com/tylp/the-indirect-spend-opportunity-what-you-dont-know-could-cost-you/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=MI-Brand.A_V2&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558083&hsa_ad=256053703&hsa_net=linkedin&hsa_ver=3,DSC,MI-Brand.A_V2,,101.44,1305,3,0.23%,77.74,33.81,0,0,0,0,0,0,3,0.23%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,3,0,0,0%,0.0,,
8/17/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558083,MI- Website Visits Campaign,Website visits,Sponsored Update,Completed,CPC,,"13,500.00",7/27/2023,11/30/2023,MI-Brand.A_V2,256053703,Paused,"Learn to optimize your indirect spending, which typically equals 20%+ of your organization's total revenue. ",It's Time to Rethink Your Indirect Procurement Strategy,,https://logicsource.com/tylp/the-indirect-spend-opportunity-what-you-dont-know-could-cost-you/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=MI-Brand.A_V2&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558083&hsa_ad=256053703&hsa_net=linkedin&hsa_ver=3,DSC,MI-Brand.A_V2,,99.04,1233,4,0.324%,80.32,24.76,0,0,0,0,0,0,4,0.324%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,4,0,0,0%,0.0,,
8/18/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558083,MI- Website Visits Campaign,Website visits,Sponsored Update,Completed,CPC,,"13,500.00",7/27/2023,11/30/2023,MI-Brand.A_V2,256053703,Paused,"Learn to optimize your indirect spending, which typically equals 20%+ of your organization's total revenue. ",It's Time to Rethink Your Indirect Procurement Strategy,,https://logicsource.com/tylp/the-indirect-spend-opportunity-what-you-dont-know-could-cost-you/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=MI-Brand.A_V2&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558083&hsa_ad=256053703&hsa_net=linkedin&hsa_ver=3,DSC,MI-Brand.A_V2,,94.11,1217,2,0.164%,77.33,47.05,0,0,0,0,0,0,2,0.164%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2,0,0,0%,0.0,,
8/19/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558083,MI- Website Visits Campaign,Website visits,Sponsored Update,Completed,CPC,,"13,500.00",7/27/2023,11/30/2023,MI-Brand.A_V2,256053703,Paused,"Learn to optimize your indirect spending, which typically equals 20%+ of your organization's total revenue. ",It's Time to Rethink Your Indirect Procurement Strategy,,https://logicsource.com/tylp/the-indirect-spend-opportunity-what-you-dont-know-could-cost-you/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=MI-Brand.A_V2&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558083&hsa_ad=256053703&hsa_net=linkedin&hsa_ver=3,DSC,MI-Brand.A_V2,,73.22,923,6,0.65%,79.33,12.2,0,0,0,0,0,0,6,0.65%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,6,0,0,0%,0.0,,
8/20/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558083,MI- Website Visits Campaign,Website visits,Sponsored Update,Completed,CPC,,"13,500.00",7/27/2023,11/30/2023,MI-Brand.A_V2,256053703,Paused,"Learn to optimize your indirect spending, which typically equals 20%+ of your organization's total revenue. ",It's Time to Rethink Your Indirect Procurement Strategy,,https://logicsource.com/tylp/the-indirect-spend-opportunity-what-you-dont-know-could-cost-you/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=MI-Brand.A_V2&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558083&hsa_ad=256053703&hsa_net=linkedin&hsa_ver=3,DSC,MI-Brand.A_V2,,66.73,824,3,0.364%,80.99,22.24,0,0,0,0,0,0,3,0.364%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,3,0,0,0%,0.0,,
8/21/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558083,MI- Website Visits Campaign,Website visits,Sponsored Update,Completed,CPC,,"13,500.00",7/27/2023,11/30/2023,MI-Brand.A_V2,256053703,Paused,"Learn to optimize your indirect spending, which typically equals 20%+ of your organization's total revenue. ",It's Time to Rethink Your Indirect Procurement Strategy,,https://logicsource.com/tylp/the-indirect-spend-opportunity-what-you-dont-know-could-cost-you/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=MI-Brand.A_V2&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558083&hsa_ad=256053703&hsa_net=linkedin&hsa_ver=3,DSC,MI-Brand.A_V2,,95.87,1235,7,0.567%,77.63,13.7,0,0,0,0,0,0,7,0.567%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,7,0,0,0%,0.0,,
8/22/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558083,MI- Website Visits Campaign,Website visits,Sponsored Update,Completed,CPC,,"13,500.00",7/27/2023,11/30/2023,MI-Brand.A_V2,256053703,Paused,"Learn to optimize your indirect spending, which typically equals 20%+ of your organization's total revenue. ",It's Time to Rethink Your Indirect Procurement Strategy,,https://logicsource.com/tylp/the-indirect-spend-opportunity-what-you-dont-know-could-cost-you/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=MI-Brand.A_V2&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558083&hsa_ad=256053703&hsa_net=linkedin&hsa_ver=3,DSC,MI-Brand.A_V2,,107.15,1358,5,0.368%,78.90,21.43,0,0,0,0,0,0,5,0.368%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,5,0,0,0%,0.0,,
8/23/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558083,MI- Website Visits Campaign,Website visits,Sponsored Update,Completed,CPC,,"13,500.00",7/27/2023,11/30/2023,MI-Brand.A_V2,256053703,Paused,"Learn to optimize your indirect spending, which typically equals 20%+ of your organization's total revenue. ",It's Time to Rethink Your Indirect Procurement Strategy,,https://logicsource.com/tylp/the-indirect-spend-opportunity-what-you-dont-know-could-cost-you/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=MI-Brand.A_V2&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558083&hsa_ad=256053703&hsa_net=linkedin&hsa_ver=3,DSC,MI-Brand.A_V2,,97.76,1203,1,0.083%,81.26,97.76,0,0,0,0,0,0,1,0.083%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0%,0.0,,
8/24/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558083,MI- Website Visits Campaign,Website visits,Sponsored Update,Completed,CPC,,"13,500.00",7/27/2023,11/30/2023,MI-Brand.A_V2,256053703,Paused,"Learn to optimize your indirect spending, which typically equals 20%+ of your organization's total revenue. ",It's Time to Rethink Your Indirect Procurement Strategy,,https://logicsource.com/tylp/the-indirect-spend-opportunity-what-you-dont-know-could-cost-you/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=MI-Brand.A_V2&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558083&hsa_ad=256053703&hsa_net=linkedin&hsa_ver=3,DSC,MI-Brand.A_V2,,102.34,1301,7,0.538%,78.66,14.62,0,0,0,0,0,0,7,0.538%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,7,0,0,0%,0.0,,
8/25/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558083,MI- Website Visits Campaign,Website visits,Sponsored Update,Completed,CPC,,"13,500.00",7/27/2023,11/30/2023,MI-Brand.A_V2,256053703,Paused,"Learn to optimize your indirect spending, which typically equals 20%+ of your organization's total revenue. ",It's Time to Rethink Your Indirect Procurement Strategy,,https://logicsource.com/tylp/the-indirect-spend-opportunity-what-you-dont-know-could-cost-you/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=MI-Brand.A_V2&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558083&hsa_ad=256053703&hsa_net=linkedin&hsa_ver=3,DSC,MI-Brand.A_V2,,92.86,1205,5,0.415%,77.06,18.57,0,0,0,0,0,0,5,0.415%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,5,0,0,0%,0.0,,
8/26/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558083,MI- Website Visits Campaign,Website visits,Sponsored Update,Completed,CPC,,"13,500.00",7/27/2023,11/30/2023,MI-Brand.A_V2,256053703,Paused,"Learn to optimize your indirect spending, which typically equals 20%+ of your organization's total revenue. ",It's Time to Rethink Your Indirect Procurement Strategy,,https://logicsource.com/tylp/the-indirect-spend-opportunity-what-you-dont-know-could-cost-you/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=MI-Brand.A_V2&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558083&hsa_ad=256053703&hsa_net=linkedin&hsa_ver=3,DSC,MI-Brand.A_V2,,68.1,862,2,0.232%,79.00,34.05,0,0,0,0,0,0,2,0.232%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2,0,0,0%,0.0,,
8/27/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558083,MI- Website Visits Campaign,Website visits,Sponsored Update,Completed,CPC,,"13,500.00",7/27/2023,11/30/2023,MI-Brand.A_V2,256053703,Paused,"Learn to optimize your indirect spending, which typically equals 20%+ of your organization's total revenue. ",It's Time to Rethink Your Indirect Procurement Strategy,,https://logicsource.com/tylp/the-indirect-spend-opportunity-what-you-dont-know-could-cost-you/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=MI-Brand.A_V2&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558083&hsa_ad=256053703&hsa_net=linkedin&hsa_ver=3,DSC,MI-Brand.A_V2,,60.1,755,1,0.132%,79.60,60.1,0,0,0,0,0,0,1,0.132%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0%,0.0,,
8/28/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558083,MI- Website Visits Campaign,Website visits,Sponsored Update,Completed,CPC,,"13,500.00",7/27/2023,11/30/2023,MI-Brand.A_V2,256053703,Paused,"Learn to optimize your indirect spending, which typically equals 20%+ of your organization's total revenue. ",It's Time to Rethink Your Indirect Procurement Strategy,,https://logicsource.com/tylp/the-indirect-spend-opportunity-what-you-dont-know-could-cost-you/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=MI-Brand.A_V2&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558083&hsa_ad=256053703&hsa_net=linkedin&hsa_ver=3,DSC,MI-Brand.A_V2,,72.16,916,8,0.873%,78.78,9.02,0,0,0,0,0,0,8,0.873%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,8,0,0,0%,0.0,,
7/27/2023,LogicSource Ad Account,USD,662786893,2023-Website Visits Campaign,Active,7/27/2023,229558093,HC - Website Visit Campaign,Website visits,Sponsored Update,Completed,CPC,,"12,650.00",7/27/2023,11/30/2023,HC-Brand.A_V1,256054893,Paused,Looking for a way to ease pressure on operating margins without cutting headcount or limiting access to care? Find out how. ,Non-Clinical Spend: Seize the Opportunity to Optimize ,,https://logicsource.com/tylp/non-clinical-spend-optimization-the-solution-to-healthcare-system-margin-pressure/?utm_source=linkedin&utm_campaign=2023-07-27_EB1&utm_content=HC-Brand.A_V1&utm_medium=paid&hsa_acc=503313685&hsa_cam=662786893&hsa_grp=229558093&hsa_ad=256054893&hsa_net=linkedin&hsa_ver=3,DSC,HC-Brand.A_V1,,3.78,19,0,0%,198.83,0.0,0,0,0,0,0,0,1,5.263%,0,0,0,0,0,0,0,0,0,0,0%,0.0,0,0.0,0,0,0,0,0,0%,0.0,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,0,0%,0.0,,
